FirstName,LastName,Email,Position,EquipmentModel,SystemAccount
Name25,Surname25,user25@lviv.polytechnic.ua,Developer,ThinkPad,SAP_Acc_25
Name26,Surname26,user26@lviv.polytechnic.ua,Developer,ThinkPad,SAP_Acc_26
Name27,Surname27,user27@lviv.polytechnic.ua,QA,Keyboard,SAP_Acc_27
Name28,Surname28,user28@lviv.polytechnic.ua,Designer,MacBook Pro,SAP_Acc_28
Name29,Surname29,user29@lviv.polytechnic.ua,QA,Keyboard,SAP_Acc_29
Name30,Surname30,user30@lviv.polytechnic.ua,DevOps,Dell XPS,SAP_Acc_30
Name31,Surname31,user31@lviv.polytechnic.ua,Manager,Keyboard,SAP_Acc_31
Name32,Surname32,user32@lviv.polytechnic.ua,DevOps,MacBook Pro,SAP_Acc_32
Name33,Surname33,user33@lviv.polytechnic.ua,Manager,MacBook Pro,SAP_Acc_33
Name34,Surname34,user34@lviv.polytechnic.ua,Developer,Monitor 27',SAP_Acc_34
Name35,Surname35,user35@lviv.polytechnic.ua,QA,MacBook Pro,SAP_Acc_35
Name36,Surname36,user36@lviv.polytechnic.ua,QA,MacBook Pro,SAP_Acc_36
Name37,Surname37,user37@lviv.polytechnic.ua,Manager,MacBook Pro,SAP_Acc_37
Name38,Surname38,user38@lviv.polytechnic.ua,Developer,Monitor 27',SAP_Acc_38
Name39,Surname39,user39@lviv.polytechnic.ua,Developer,ThinkPad,SAP_Acc_39
Name40,Surname40,user40@lviv.polytechnic.ua,DevOps,Dell XPS,SAP_Acc_40
Name41,Surname41,user41@lviv.polytechnic.ua,Manager,MacBook Pro,SAP_Acc_41
Name42,Surname42,user42@lviv.polytechnic.ua,Manager,Keyboard,SAP_Acc_42
Name43,Surname43,user43@lviv.polytechnic.ua,QA,ThinkPad,SAP_Acc_43
Name44,Surname44,user44@lviv.polytechnic.ua,Manager,ThinkPad,SAP_Acc_44
Name45,Surname45,user45@lviv.polytechnic.ua,Designer,MacBook Pro,SAP_Acc_45
Name46,Surname46,user46@lviv.polytechnic.ua,Developer,Keyboard,SAP_Acc_46
Name47,Surname47,user47@lviv.polytechnic.ua,QA,Monitor 27',SAP_Acc_47
Name48,Surname48,user48@lviv.polytechnic.ua,Manager,ThinkPad,SAP_Acc_48
Name49,Surname49,user49@lviv.polytechnic.ua,Designer,Monitor 27',SAP_Acc_49
Name50,Surname50,user50@lviv.polytechnic.ua,Developer,MacBook Pro,SAP_Acc_50
Name51,Surname51,user51@lviv.polytechnic.ua,Designer,MacBook Pro,SAP_Acc_51
Name52,Surname52,user52@lviv.polytechnic.ua,Manager,Keyboard,SAP_Acc_52
Name53,Surname53,user53@lviv.polytechnic.ua,Manager,MacBook Pro,SAP_Acc_53
Name54,Surname54,user54@lviv.polytechnic.ua,Manager,MacBook Pro,SAP_Acc_54
Name55,Surname55,user55@lviv.polytechnic.ua,DevOps,Monitor 27',SAP_Acc_55
Name56,Surname56,user56@lviv.polytechnic.ua,Designer,MacBook Pro,SAP_Acc_56
Name57,Surname57,user57@lviv.polytechnic.ua,Designer,Monitor 27',SAP_Acc_57
Name58,Surname58,user58@lviv.polytechnic.ua,Designer,Dell XPS,SAP_Acc_58
Name59,Surname59,user59@lviv.polytechnic.ua,DevOps,MacBook Pro,SAP_Acc_59
Name60,Surname60,user60@lviv.polytechnic.ua,Developer,MacBook Pro,SAP_Acc_60
Name61,Surname61,user61@lviv.polytechnic.ua,Designer,MacBook Pro,SAP_Acc_61
Name62,Surname62,user62@lviv.polytechnic.ua,Developer,Monitor 27',SAP_Acc_62
Name63,Surname63,user63@lviv.polytechnic.ua,DevOps,Monitor 27',SAP_Acc_63
Name64,Surname64,user64@lviv.polytechnic.ua,Designer,Monitor 27',SAP_Acc_64
Name65,Surname65,user65@lviv.polytechnic.ua,QA,Dell XPS,SAP_Acc_65
Name66,Surname66,user66@lviv.polytechnic.ua,Developer,Dell XPS,SAP_Acc_66
Name67,Surname67,user67@lviv.polytechnic.ua,QA,Keyboard,SAP_Acc_67
Name68,Surname68,user68@lviv.polytechnic.ua,DevOps,MacBook Pro,SAP_Acc_68
Name69,Surname69,user69@lviv.polytechnic.ua,DevOps,MacBook Pro,SAP_Acc_69
Name70,Surname70,user70@lviv.polytechnic.ua,DevOps,Dell XPS,SAP_Acc_70
Name71,Surname71,user71@lviv.polytechnic.ua,DevOps,ThinkPad,SAP_Acc_71
Name72,Surname72,user72@lviv.polytechnic.ua,QA,Dell XPS,SAP_Acc_72
Name73,Surname73,user73@lviv.polytechnic.ua,DevOps,Dell XPS,SAP_Acc_73
Name74,Surname74,user74@lviv.polytechnic.ua,Designer,ThinkPad,SAP_Acc_74
Name75,Surname75,user75@lviv.polytechnic.ua,QA,Keyboard,SAP_Acc_75
Name76,Surname76,user76@lviv.polytechnic.ua,Designer,Monitor 27',SAP_Acc_76
Name77,Surname77,user77@lviv.polytechnic.ua,Developer,ThinkPad,SAP_Acc_77
Name78,Surname78,user78@lviv.polytechnic.ua,Developer,ThinkPad,SAP_Acc_78
Name79,Surname79,user79@lviv.polytechnic.ua,DevOps,MacBook Pro,SAP_Acc_79
Name80,Surname80,user80@lviv.polytechnic.ua,Developer,Dell XPS,SAP_Acc_80
Name81,Surname81,user81@lviv.polytechnic.ua,QA,MacBook Pro,SAP_Acc_81
Name82,Surname82,user82@lviv.polytechnic.ua,DevOps,Monitor 27',SAP_Acc_82
Name83,Surname83,user83@lviv.polytechnic.ua,QA,Monitor 27',SAP_Acc_83
Name84,Surname84,user84@lviv.polytechnic.ua,Developer,MacBook Pro,SAP_Acc_84
Name85,Surname85,user85@lviv.polytechnic.ua,Developer,Keyboard,SAP_Acc_85
Name86,Surname86,user86@lviv.polytechnic.ua,Developer,ThinkPad,SAP_Acc_86
Name87,Surname87,user87@lviv.polytechnic.ua,QA,Monitor 27',SAP_Acc_87
Name88,Surname88,user88@lviv.polytechnic.ua,DevOps,ThinkPad,SAP_Acc_88
Name89,Surname89,user89@lviv.polytechnic.ua,DevOps,MacBook Pro,SAP_Acc_89
Name90,Surname90,user90@lviv.polytechnic.ua,QA,Keyboard,SAP_Acc_90
Name91,Surname91,user91@lviv.polytechnic.ua,QA,Dell XPS,SAP_Acc_91
Name92,Surname92,user92@lviv.polytechnic.ua,Developer,MacBook Pro,SAP_Acc_92
Name93,Surname93,user93@lviv.polytechnic.ua,QA,Dell XPS,SAP_Acc_93
Name94,Surname94,user94@lviv.polytechnic.ua,Developer,ThinkPad,SAP_Acc_94
Name95,Surname95,user95@lviv.polytechnic.ua,Manager,Monitor 27',SAP_Acc_95
Name96,Surname96,user96@lviv.polytechnic.ua,QA,ThinkPad,SAP_Acc_96
Name97,Surname97,user97@lviv.polytechnic.ua,QA,MacBook Pro,SAP_Acc_97
Name98,Surname98,user98@lviv.polytechnic.ua,Developer,ThinkPad,SAP_Acc_98
Name99,Surname99,user99@lviv.polytechnic.ua,QA,Keyboard,SAP_Acc_99
Name100,Surname100,user100@lviv.polytechnic.ua,Developer,MacBook Pro,SAP_Acc_100
Name101,Surname101,user101@lviv.polytechnic.ua,QA,Keyboard,SAP_Acc_101
Name102,Surname102,user102@lviv.polytechnic.ua,Developer,Dell XPS,SAP_Acc_102
Name103,Surname103,user103@lviv.polytechnic.ua,QA,ThinkPad,SAP_Acc_103
Name104,Surname104,user104@lviv.polytechnic.ua,Manager,Dell XPS,SAP_Acc_104
Name105,Surname105,user105@lviv.polytechnic.ua,DevOps,Monitor 27',SAP_Acc_105
Name106,Surname106,user106@lviv.polytechnic.ua,Designer,Keyboard,SAP_Acc_106
Name107,Surname107,user107@lviv.polytechnic.ua,Manager,ThinkPad,SAP_Acc_107
Name108,Surname108,user108@lviv.polytechnic.ua,Manager,ThinkPad,SAP_Acc_108
Name109,Surname109,user109@lviv.polytechnic.ua,QA,Dell XPS,SAP_Acc_109
Name110,Surname110,user110@lviv.polytechnic.ua,DevOps,MacBook Pro,SAP_Acc_110
Name111,Surname111,user111@lviv.polytechnic.ua,Developer,Keyboard,SAP_Acc_111
Name112,Surname112,user112@lviv.polytechnic.ua,DevOps,Keyboard,SAP_Acc_112
Name113,Surname113,user113@lviv.polytechnic.ua,QA,Monitor 27',SAP_Acc_113
Name114,Surname114,user114@lviv.polytechnic.ua,QA,Monitor 27',SAP_Acc_114
Name115,Surname115,user115@lviv.polytechnic.ua,Designer,Keyboard,SAP_Acc_115
Name116,Surname116,user116@lviv.polytechnic.ua,QA,MacBook Pro,SAP_Acc_116
Name117,Surname117,user117@lviv.polytechnic.ua,QA,ThinkPad,SAP_Acc_117
Name118,Surname118,user118@lviv.polytechnic.ua,Designer,ThinkPad,SAP_Acc_118
Name119,Surname119,user119@lviv.polytechnic.ua,Designer,Keyboard,SAP_Acc_119
Name120,Surname120,user120@lviv.polytechnic.ua,Designer,ThinkPad,SAP_Acc_120
Name121,Surname121,user121@lviv.polytechnic.ua,QA,Monitor 27',SAP_Acc_121
Name122,Surname122,user122@lviv.polytechnic.ua,DevOps,Monitor 27',SAP_Acc_122
Name123,Surname123,user123@lviv.polytechnic.ua,Designer,MacBook Pro,SAP_Acc_123
Name124,Surname124,user124@lviv.polytechnic.ua,DevOps,Keyboard,SAP_Acc_124
Name125,Surname125,user125@lviv.polytechnic.ua,Manager,Dell XPS,SAP_Acc_125
Name126,Surname126,user126@lviv.polytechnic.ua,QA,ThinkPad,SAP_Acc_126
Name127,Surname127,user127@lviv.polytechnic.ua,Developer,Dell XPS,SAP_Acc_127
Name128,Surname128,user128@lviv.polytechnic.ua,Developer,MacBook Pro,SAP_Acc_128
Name129,Surname129,user129@lviv.polytechnic.ua,Manager,Keyboard,SAP_Acc_129
Name130,Surname130,user130@lviv.polytechnic.ua,Manager,ThinkPad,SAP_Acc_130
Name131,Surname131,user131@lviv.polytechnic.ua,QA,Monitor 27',SAP_Acc_131
Name132,Surname132,user132@lviv.polytechnic.ua,Manager,Monitor 27',SAP_Acc_132
Name133,Surname133,user133@lviv.polytechnic.ua,Designer,Monitor 27',SAP_Acc_133
Name134,Surname134,user134@lviv.polytechnic.ua,QA,MacBook Pro,SAP_Acc_134
Name135,Surname135,user135@lviv.polytechnic.ua,Manager,ThinkPad,SAP_Acc_135
Name136,Surname136,user136@lviv.polytechnic.ua,DevOps,ThinkPad,SAP_Acc_136
Name137,Surname137,user137@lviv.polytechnic.ua,Designer,Dell XPS,SAP_Acc_137
Name138,Surname138,user138@lviv.polytechnic.ua,DevOps,Monitor 27',SAP_Acc_138
Name139,Surname139,user139@lviv.polytechnic.ua,Designer,MacBook Pro,SAP_Acc_139
Name140,Surname140,user140@lviv.polytechnic.ua,QA,Dell XPS,SAP_Acc_140
Name141,Surname141,user141@lviv.polytechnic.ua,Manager,MacBook Pro,SAP_Acc_141
Name142,Surname142,user142@lviv.polytechnic.ua,DevOps,MacBook Pro,SAP_Acc_142
Name143,Surname143,user143@lviv.polytechnic.ua,DevOps,Dell XPS,SAP_Acc_143
Name144,Surname144,user144@lviv.polytechnic.ua,Designer,MacBook Pro,SAP_Acc_144
Name145,Surname145,user145@lviv.polytechnic.ua,Developer,MacBook Pro,SAP_Acc_145
Name146,Surname146,user146@lviv.polytechnic.ua,DevOps,Keyboard,SAP_Acc_146
Name147,Surname147,user147@lviv.polytechnic.ua,Designer,Keyboard,SAP_Acc_147
Name148,Surname148,user148@lviv.polytechnic.ua,QA,Keyboard,SAP_Acc_148
Name149,Surname149,user149@lviv.polytechnic.ua,Developer,MacBook Pro,SAP_Acc_149
Name150,Surname150,user150@lviv.polytechnic.ua,QA,Dell XPS,SAP_Acc_150
Name151,Surname151,user151@lviv.polytechnic.ua,QA,ThinkPad,SAP_Acc_151
Name152,Surname152,user152@lviv.polytechnic.ua,Designer,Keyboard,SAP_Acc_152
Name153,Surname153,user153@lviv.polytechnic.ua,DevOps,Monitor 27',SAP_Acc_153
Name154,Surname154,user154@lviv.polytechnic.ua,Manager,ThinkPad,SAP_Acc_154
Name155,Surname155,user155@lviv.polytechnic.ua,QA,Dell XPS,SAP_Acc_155
Name156,Surname156,user156@lviv.polytechnic.ua,Manager,ThinkPad,SAP_Acc_156
Name157,Surname157,user157@lviv.polytechnic.ua,Developer,MacBook Pro,SAP_Acc_157
Name158,Surname158,user158@lviv.polytechnic.ua,QA,Dell XPS,SAP_Acc_158
Name159,Surname159,user159@lviv.polytechnic.ua,QA,Keyboard,SAP_Acc_159
Name160,Surname160,user160@lviv.polytechnic.ua,Designer,MacBook Pro,SAP_Acc_160
Name161,Surname161,user161@lviv.polytechnic.ua,Developer,Keyboard,SAP_Acc_161
Name162,Surname162,user162@lviv.polytechnic.ua,Designer,ThinkPad,SAP_Acc_162
Name163,Surname163,user163@lviv.polytechnic.ua,Designer,ThinkPad,SAP_Acc_163
Name164,Surname164,user164@lviv.polytechnic.ua,Manager,Dell XPS,SAP_Acc_164
Name165,Surname165,user165@lviv.polytechnic.ua,Manager,Keyboard,SAP_Acc_165
Name166,Surname166,user166@lviv.polytechnic.ua,Designer,Monitor 27',SAP_Acc_166
Name167,Surname167,user167@lviv.polytechnic.ua,Developer,MacBook Pro,SAP_Acc_167
Name168,Surname168,user168@lviv.polytechnic.ua,Developer,Dell XPS,SAP_Acc_168
Name169,Surname169,user169@lviv.polytechnic.ua,Developer,Monitor 27',SAP_Acc_169
Name170,Surname170,user170@lviv.polytechnic.ua,QA,Monitor 27',SAP_Acc_170
Name171,Surname171,user171@lviv.polytechnic.ua,Designer,Dell XPS,SAP_Acc_171
Name172,Surname172,user172@lviv.polytechnic.ua,QA,ThinkPad,SAP_Acc_172
Name173,Surname173,user173@lviv.polytechnic.ua,Developer,Keyboard,SAP_Acc_173
Name174,Surname174,user174@lviv.polytechnic.ua,Developer,Dell XPS,SAP_Acc_174
Name175,Surname175,user175@lviv.polytechnic.ua,Manager,MacBook Pro,SAP_Acc_175
Name176,Surname176,user176@lviv.polytechnic.ua,DevOps,Keyboard,SAP_Acc_176
Name177,Surname177,user177@lviv.polytechnic.ua,Developer,Monitor 27',SAP_Acc_177
Name178,Surname178,user178@lviv.polytechnic.ua,Developer,Dell XPS,SAP_Acc_178
Name179,Surname179,user179@lviv.polytechnic.ua,QA,Keyboard,SAP_Acc_179
Name180,Surname180,user180@lviv.polytechnic.ua,QA,MacBook Pro,SAP_Acc_180
Name181,Surname181,user181@lviv.polytechnic.ua,Developer,Dell XPS,SAP_Acc_181
Name182,Surname182,user182@lviv.polytechnic.ua,Designer,MacBook Pro,SAP_Acc_182
Name183,Surname183,user183@lviv.polytechnic.ua,Designer,Keyboard,SAP_Acc_183
Name184,Surname184,user184@lviv.polytechnic.ua,Manager,ThinkPad,SAP_Acc_184
Name185,Surname185,user185@lviv.polytechnic.ua,Developer,MacBook Pro,SAP_Acc_185
Name186,Surname186,user186@lviv.polytechnic.ua,DevOps,Dell XPS,SAP_Acc_186
Name187,Surname187,user187@lviv.polytechnic.ua,Manager,Monitor 27',SAP_Acc_187
Name188,Surname188,user188@lviv.polytechnic.ua,DevOps,Dell XPS,SAP_Acc_188
Name189,Surname189,user189@lviv.polytechnic.ua,Manager,Dell XPS,SAP_Acc_189
Name190,Surname190,user190@lviv.polytechnic.ua,DevOps,Keyboard,SAP_Acc_190
Name191,Surname191,user191@lviv.polytechnic.ua,Designer,Monitor 27',SAP_Acc_191
Name192,Surname192,user192@lviv.polytechnic.ua,Designer,Monitor 27',SAP_Acc_192
Name193,Surname193,user193@lviv.polytechnic.ua,QA,Dell XPS,SAP_Acc_193
Name194,Surname194,user194@lviv.polytechnic.ua,QA,Dell XPS,SAP_Acc_194
Name195,Surname195,user195@lviv.polytechnic.ua,DevOps,Keyboard,SAP_Acc_195
Name196,Surname196,user196@lviv.polytechnic.ua,DevOps,ThinkPad,SAP_Acc_196
Name197,Surname197,user197@lviv.polytechnic.ua,DevOps,Dell XPS,SAP_Acc_197
Name198,Surname198,user198@lviv.polytechnic.ua,Designer,MacBook Pro,SAP_Acc_198
Name199,Surname199,user199@lviv.polytechnic.ua,Designer,MacBook Pro,SAP_Acc_199
Name200,Surname200,user200@lviv.polytechnic.ua,Developer,ThinkPad,SAP_Acc_200
Name201,Surname201,user201@lviv.polytechnic.ua,DevOps,ThinkPad,SAP_Acc_201
Name202,Surname202,user202@lviv.polytechnic.ua,Developer,ThinkPad,SAP_Acc_202
Name203,Surname203,user203@lviv.polytechnic.ua,Manager,Dell XPS,SAP_Acc_203
Name204,Surname204,user204@lviv.polytechnic.ua,DevOps,Keyboard,SAP_Acc_204
Name205,Surname205,user205@lviv.polytechnic.ua,QA,Dell XPS,SAP_Acc_205
Name206,Surname206,user206@lviv.polytechnic.ua,DevOps,MacBook Pro,SAP_Acc_206
Name207,Surname207,user207@lviv.polytechnic.ua,DevOps,ThinkPad,SAP_Acc_207
Name208,Surname208,user208@lviv.polytechnic.ua,DevOps,ThinkPad,SAP_Acc_208
Name209,Surname209,user209@lviv.polytechnic.ua,Developer,Dell XPS,SAP_Acc_209
Name210,Surname210,user210@lviv.polytechnic.ua,DevOps,Keyboard,SAP_Acc_210
Name211,Surname211,user211@lviv.polytechnic.ua,Manager,Monitor 27',SAP_Acc_211
Name212,Surname212,user212@lviv.polytechnic.ua,Manager,Dell XPS,SAP_Acc_212
Name213,Surname213,user213@lviv.polytechnic.ua,QA,Monitor 27',SAP_Acc_213
Name214,Surname214,user214@lviv.polytechnic.ua,DevOps,Keyboard,SAP_Acc_214
Name215,Surname215,user215@lviv.polytechnic.ua,Manager,Keyboard,SAP_Acc_215
Name216,Surname216,user216@lviv.polytechnic.ua,QA,Dell XPS,SAP_Acc_216
Name217,Surname217,user217@lviv.polytechnic.ua,DevOps,ThinkPad,SAP_Acc_217
Name218,Surname218,user218@lviv.polytechnic.ua,Manager,MacBook Pro,SAP_Acc_218
Name219,Surname219,user219@lviv.polytechnic.ua,Designer,Dell XPS,SAP_Acc_219
Name220,Surname220,user220@lviv.polytechnic.ua,Developer,Monitor 27',SAP_Acc_220
Name221,Surname221,user221@lviv.polytechnic.ua,DevOps,ThinkPad,SAP_Acc_221
Name222,Surname222,user222@lviv.polytechnic.ua,DevOps,Monitor 27',SAP_Acc_222
Name223,Surname223,user223@lviv.polytechnic.ua,DevOps,ThinkPad,SAP_Acc_223
Name224,Surname224,user224@lviv.polytechnic.ua,QA,Keyboard,SAP_Acc_224
Name225,Surname225,user225@lviv.polytechnic.ua,Designer,Dell XPS,SAP_Acc_225
Name226,Surname226,user226@lviv.polytechnic.ua,QA,Monitor 27',SAP_Acc_226
Name227,Surname227,user227@lviv.polytechnic.ua,QA,MacBook Pro,SAP_Acc_227
Name228,Surname228,user228@lviv.polytechnic.ua,Designer,ThinkPad,SAP_Acc_228
Name229,Surname229,user229@lviv.polytechnic.ua,Designer,Monitor 27',SAP_Acc_229
Name230,Surname230,user230@lviv.polytechnic.ua,QA,Monitor 27',SAP_Acc_230
Name231,Surname231,user231@lviv.polytechnic.ua,Designer,ThinkPad,SAP_Acc_231
Name232,Surname232,user232@lviv.polytechnic.ua,DevOps,Dell XPS,SAP_Acc_232
Name233,Surname233,user233@lviv.polytechnic.ua,Designer,MacBook Pro,SAP_Acc_233
Name234,Surname234,user234@lviv.polytechnic.ua,Designer,Monitor 27',SAP_Acc_234
Name235,Surname235,user235@lviv.polytechnic.ua,Developer,Monitor 27',SAP_Acc_235
Name236,Surname236,user236@lviv.polytechnic.ua,DevOps,Monitor 27',SAP_Acc_236
Name237,Surname237,user237@lviv.polytechnic.ua,Manager,MacBook Pro,SAP_Acc_237
Name238,Surname238,user238@lviv.polytechnic.ua,Manager,Keyboard,SAP_Acc_238
Name239,Surname239,user239@lviv.polytechnic.ua,Designer,ThinkPad,SAP_Acc_239
Name240,Surname240,user240@lviv.polytechnic.ua,Manager,Monitor 27',SAP_Acc_240
Name241,Surname241,user241@lviv.polytechnic.ua,QA,Dell XPS,SAP_Acc_241
Name242,Surname242,user242@lviv.polytechnic.ua,Designer,Keyboard,SAP_Acc_242
Name243,Surname243,user243@lviv.polytechnic.ua,Developer,Keyboard,SAP_Acc_243
Name244,Surname244,user244@lviv.polytechnic.ua,Developer,ThinkPad,SAP_Acc_244
Name245,Surname245,user245@lviv.polytechnic.ua,QA,Monitor 27',SAP_Acc_245
Name246,Surname246,user246@lviv.polytechnic.ua,QA,MacBook Pro,SAP_Acc_246
Name247,Surname247,user247@lviv.polytechnic.ua,QA,Keyboard,SAP_Acc_247
Name248,Surname248,user248@lviv.polytechnic.ua,DevOps,MacBook Pro,SAP_Acc_248
Name249,Surname249,user249@lviv.polytechnic.ua,DevOps,Keyboard,SAP_Acc_249
Name250,Surname250,user250@lviv.polytechnic.ua,Developer,Keyboard,SAP_Acc_250
Name251,Surname251,user251@lviv.polytechnic.ua,Developer,Monitor 27',SAP_Acc_251
Name252,Surname252,user252@lviv.polytechnic.ua,Designer,Dell XPS,SAP_Acc_252
Name253,Surname253,user253@lviv.polytechnic.ua,QA,Keyboard,SAP_Acc_253
Name254,Surname254,user254@lviv.polytechnic.ua,Developer,MacBook Pro,SAP_Acc_254
Name255,Surname255,user255@lviv.polytechnic.ua,Manager,Dell XPS,SAP_Acc_255
Name256,Surname256,user256@lviv.polytechnic.ua,Designer,Keyboard,SAP_Acc_256
Name257,Surname257,user257@lviv.polytechnic.ua,Designer,Keyboard,SAP_Acc_257
Name258,Surname258,user258@lviv.polytechnic.ua,DevOps,Dell XPS,SAP_Acc_258
Name259,Surname259,user259@lviv.polytechnic.ua,Developer,MacBook Pro,SAP_Acc_259
Name260,Surname260,user260@lviv.polytechnic.ua,Designer,Keyboard,SAP_Acc_260
Name261,Surname261,user261@lviv.polytechnic.ua,QA,Dell XPS,SAP_Acc_261
Name262,Surname262,user262@lviv.polytechnic.ua,Manager,MacBook Pro,SAP_Acc_262
Name263,Surname263,user263@lviv.polytechnic.ua,Designer,ThinkPad,SAP_Acc_263
Name264,Surname264,user264@lviv.polytechnic.ua,Manager,Dell XPS,SAP_Acc_264
Name265,Surname265,user265@lviv.polytechnic.ua,Developer,Dell XPS,SAP_Acc_265
Name266,Surname266,user266@lviv.polytechnic.ua,QA,MacBook Pro,SAP_Acc_266
Name267,Surname267,user267@lviv.polytechnic.ua,QA,Monitor 27',SAP_Acc_267
Name268,Surname268,user268@lviv.polytechnic.ua,QA,Keyboard,SAP_Acc_268
Name269,Surname269,user269@lviv.polytechnic.ua,Designer,ThinkPad,SAP_Acc_269
Name270,Surname270,user270@lviv.polytechnic.ua,Manager,Monitor 27',SAP_Acc_270
Name271,Surname271,user271@lviv.polytechnic.ua,Developer,Dell XPS,SAP_Acc_271
Name272,Surname272,user272@lviv.polytechnic.ua,Designer,ThinkPad,SAP_Acc_272
Name273,Surname273,user273@lviv.polytechnic.ua,QA,ThinkPad,SAP_Acc_273
Name274,Surname274,user274@lviv.polytechnic.ua,Designer,Dell XPS,SAP_Acc_274
Name275,Surname275,user275@lviv.polytechnic.ua,DevOps,Keyboard,SAP_Acc_275
Name276,Surname276,user276@lviv.polytechnic.ua,DevOps,ThinkPad,SAP_Acc_276
Name277,Surname277,user277@lviv.polytechnic.ua,Designer,Keyboard,SAP_Acc_277
Name278,Surname278,user278@lviv.polytechnic.ua,DevOps,MacBook Pro,SAP_Acc_278
Name279,Surname279,user279@lviv.polytechnic.ua,QA,Keyboard,SAP_Acc_279
Name280,Surname280,user280@lviv.polytechnic.ua,Developer,ThinkPad,SAP_Acc_280
Name281,Surname281,user281@lviv.polytechnic.ua,Developer,MacBook Pro,SAP_Acc_281
Name282,Surname282,user282@lviv.polytechnic.ua,Manager,Dell XPS,SAP_Acc_282
Name283,Surname283,user283@lviv.polytechnic.ua,Manager,Keyboard,SAP_Acc_283
Name284,Surname284,user284@lviv.polytechnic.ua,Designer,Monitor 27',SAP_Acc_284
Name285,Surname285,user285@lviv.polytechnic.ua,Designer,Monitor 27',SAP_Acc_285
Name286,Surname286,user286@lviv.polytechnic.ua,Developer,Dell XPS,SAP_Acc_286
Name287,Surname287,user287@lviv.polytechnic.ua,Manager,ThinkPad,SAP_Acc_287
Name288,Surname288,user288@lviv.polytechnic.ua,DevOps,MacBook Pro,SAP_Acc_288
Name289,Surname289,user289@lviv.polytechnic.ua,Manager,Keyboard,SAP_Acc_289
Name290,Surname290,user290@lviv.polytechnic.ua,QA,Dell XPS,SAP_Acc_290
Name291,Surname291,user291@lviv.polytechnic.ua,Designer,Keyboard,SAP_Acc_291
Name292,Surname292,user292@lviv.polytechnic.ua,Developer,Dell XPS,SAP_Acc_292
Name293,Surname293,user293@lviv.polytechnic.ua,Manager,Dell XPS,SAP_Acc_293
Name294,Surname294,user294@lviv.polytechnic.ua,DevOps,Dell XPS,SAP_Acc_294
Name295,Surname295,user295@lviv.polytechnic.ua,DevOps,Keyboard,SAP_Acc_295
Name296,Surname296,user296@lviv.polytechnic.ua,QA,Dell XPS,SAP_Acc_296
Name297,Surname297,user297@lviv.polytechnic.ua,Manager,Monitor 27',SAP_Acc_297
Name298,Surname298,user298@lviv.polytechnic.ua,Designer,Dell XPS,SAP_Acc_298
Name299,Surname299,user299@lviv.polytechnic.ua,Developer,Dell XPS,SAP_Acc_299
Name300,Surname300,user300@lviv.polytechnic.ua,Developer,ThinkPad,SAP_Acc_300
Name301,Surname301,user301@lviv.polytechnic.ua,Developer,MacBook Pro,SAP_Acc_301
Name302,Surname302,user302@lviv.polytechnic.ua,Manager,MacBook Pro,SAP_Acc_302
Name303,Surname303,user303@lviv.polytechnic.ua,Manager,Monitor 27',SAP_Acc_303
